Id,PostId,PostNoticeTypeId,CreationDate,DeletionDate,ExpiryDate,Body,OwnerUserId,DeletionUserId,id
"137480","43290480","13","2017-05-17 09:55:05","2017-05-22 08:28:40","","","1649372","1649372","43290480"
"137887","43792085","14","2017-05-22 19:39:34","2017-05-30 21:06:07","","","766118","-1","43792085"
"137972","44065186","14","2017-05-24 04:13:49","2017-06-01 05:24:13","","","966698","-1","44065186"
"138594","43290480","12","2017-06-02 13:31:49","2017-06-09 20:04:07","","","1649372","1649372","43290480"
"163155","50986816","14","2018-06-26 10:26:10","2018-07-04 12:24:36","","","1535747","-1","50986816"
"114195","37693542","11","2016-06-14 07:00:56","2016-06-22 08:32:14","","","798735","-1","37693542"
"114732","37897058","14","2016-06-21 11:30:12","2016-06-27 22:00:35","","Bounty opened up to reward anyone who doesn't mind taking the time to give a full walk through of the mentalities and best practices here.  I want to make sure I have a proper understanding for all my future projects","4944649","4944649","37897058"
"191397","58593774","11","2019-11-01 03:30:12","2019-11-09 05:01:45","","Explain if this is a limitation in OData and if there is any work around to solve this issue","1027102","-1","58593774"
"164020","51227737","11","2018-07-09 23:40:49","2018-07-15 18:03:21","","Since I've read all the theory and content on the net, I hope that based on the information I have already given in this thread, you'd be able to guide me based on the description and diagram where I use my concrete use case as an example. (or just ask me if something seems confusing and you want me to clarify it more)","3973406","3973406","51227737"
"164451","48906817","14","2018-07-17 08:12:51","2018-07-25 10:00:53","","","1062015","-1","48906817"
"165150","51541318","14","2018-07-29 03:24:14","2018-08-05 21:59:05","","","139698","139698","51541318"
"88628","30995669","11","2015-06-25 07:39:05","2015-07-03 09:07:50","","","2968101","-1","30995669"
"165990","51726683","11","2018-08-11 02:38:46","2018-08-15 13:58:30","","","292291","292291","51726683"
"166664","51821786","11","2018-08-23 09:14:45","2018-08-31 11:01:08","","","4860939","-1","51821786"
"166774","51976057","14","2018-08-25 02:29:45","2018-08-29 03:49:06","","","139698","139698","51976057"
"90279","31342583","11","2015-07-18 00:02:54","2015-07-24 23:45:10","","","4086836","4086836","31342583"
"142901","45515650","11","2017-08-07 17:17:07","2017-08-15 18:48:35","","","1845593","-1","45515650"
"142904","45510905","13","2017-08-07 17:52:36","2017-08-15 19:47:30","","","5506061","-1","45510905"
"143035","45547556","11","2017-08-09 17:19:35","2017-08-17 19:05:03","","","301957","-1","45547556"
"167703","52219244","11","2018-09-10 07:38:07","2018-09-18 09:00:29","","","3172652","-1","52219244"
"167723","52228734","11","2018-09-10 09:56:53","2018-09-18 11:00:44","","","809807","-1","52228734"
"168241","52318727","11","2018-09-18 22:24:27","2018-09-27 00:00:42","","Must explain how to test async web services from acceptance perspective without having flickering tests","1633190","-1","52318727"
"168263","52161774","13","2018-09-19 10:51:39","2018-09-26 10:59:48","","","4860939","4860939","52161774"
"193793","59186008","11","2019-12-07 13:01:09","2019-12-15 15:00:55","","","2761509","-1","59186008"
"193943","58892667","11","2019-12-09 15:29:29","2019-12-17 17:02:25","","","4291750","-1","58892667"
"120014","39305118","11","2016-09-05 08:58:15","2016-09-06 13:56:43","","","3645827","3645827","39305118"
"143704","45625886","11","2017-08-19 18:18:41","2017-08-27 20:15:14","","This is a very open ended question, but one I think many developers ask themselves whenever they need to build a service that interfaces with other services within their org. I'm hoping to clarify the distinction between REST and gRPC for engineers exploring these options.","1773216","-1","45625886"
"144144","45869766","11","2017-08-26 21:44:03","2017-08-30 22:33:59","","This is an issue that I've still been unable to solve without purchasing a higher tier of windows 10, which isn't a verifiable solution to the issue. I've opened an issue with the github project, and haven't received any information or acknowledgement. I think whoever can show a solution to this deserves additional reputation gain.

Thanks,","4557002","4557002","45869766"
"144749","44946517","11","2017-09-05 17:56:51","2017-09-13 19:28:14","","","7434324","-1","44946517"
"195086","59487499","13","2019-12-28 16:54:49","2020-01-03 08:56:55","","","2892373","2892373","59487499"
"145189","43763418","13","2017-09-12 16:53:56","2017-09-20 18:03:58","","","117700","-1","43763418"
"146101","40900818","11","2017-09-26 18:07:41","2017-10-02 17:36:03","","","98082","98082","40900818"
"171122","53109442","11","2018-11-06 22:35:58","2018-11-14 00:18:35","","","2327863","2327863","53109442"
"171466","53149896","14","2018-11-13 04:32:38","2018-11-21 06:01:10","","Need detailed and exact solution","2931744","-1","53149896"
"195557","59453896","11","2020-01-06 10:25:44","2020-01-14 12:03:40","","","42119","-1","59453896"
"196000","59632686","11","2020-01-13 10:20:40","2020-01-14 20:12:10","","","7716341","7716341","59632686"
"196489","59801685","13","2020-01-20 14:49:41","2020-01-21 15:55:49","","","606521","606521","59801685"
