Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount,id
"122046820","39450504","2","","2016-09-13 00:00:00","","39450504"
"175635019","30422184","2","","2018-11-21 00:00:00","","30422184"
"175635024","30422184","5","1740849","2018-11-21 00:00:00","","30422184"
"150139302","42648060","2","","2017-10-29 00:00:00","","42648060"
"175665906","38071714","2","","2018-11-22 00:00:00","","38071714"
"202570913","58624472","2","","2020-02-03 00:00:00","","58624472"
"122106050","39476480","5","2929562","2016-09-13 00:00:00","","39476480"
"175687897","35756663","2","","2018-11-22 00:00:00","","35756663"
"202598749","37148836","2","","2020-02-03 00:00:00","","37148836"
"202629550","28930710","5","3103591","2020-02-04 00:00:00","","28930710"
"175766275","52854051","2","","2018-11-23 00:00:00","","52854051"
"175768397","53448772","5","8239214","2018-11-23 00:00:00","","53448772"
"175771053","43950808","2","","2018-11-23 00:00:00","","43950808"
"122226124","33726653","2","","2016-09-15 00:00:00","","33726653"
"202681769","60063787","2","","2020-02-04 00:00:00","","60063787"
"109876227","30213456","2","","2016-03-17 00:00:00","","30213456"
"109876237","30213456","5","245268","2016-03-17 00:00:00","","30213456"
"191145445","57167221","2","","2019-07-24 00:00:00","","57167221"
"191164012","48788264","2","","2019-07-25 00:00:00","","48788264"
"109933251","32574103","2","","2016-03-18 00:00:00","","32574103"
"109933253","32574103","5","2869055","2016-03-18 00:00:00","","32574103"
"191379176","43612866","2","","2019-07-29 00:00:00","","43612866"
"191393477","55487111","2","","2019-07-29 00:00:00","","55487111"
"191395759","29117570","5","885920","2019-07-29 00:00:00","","29117570"
"191540560","29761872","5","11119124","2019-07-31 00:00:00","","29761872"
"191553548","34295221","2","","2019-07-31 00:00:00","","34295221"
"191553550","34295221","5","266427","2019-07-31 00:00:00","","34295221"
"191559909","56648153","2","","2019-07-31 00:00:00","","56648153"
"191565462","56294568","2","","2019-07-31 00:00:00","","56294568"
"164921273","50736767","3","","2018-06-07 00:00:00","","50736767"
"191631694","57310401","2","","2019-08-01 00:00:00","","57310401"
"191631712","44183595","2","","2019-08-01 00:00:00","","44183595"
"164956918","33041733","2","","2018-06-07 00:00:00","","33041733"
"191662380","41067341","2","","2019-08-02 00:00:00","","41067341"
"191662381","41067341","5","1451479","2019-08-02 00:00:00","","41067341"
"191665952","57322178","2","","2019-08-02 00:00:00","","57322178"
"191669089","57322178","2","","2019-08-02 00:00:00","","57322178"
"191669411","50663047","2","","2019-08-02 00:00:00","","50663047"
"191711005","55112973","5","8488817","2019-08-02 00:00:00","","55112973"
"191714352","57333830","2","","2019-08-03 00:00:00","","57333830"
"165032810","47050984","5","5104467","2018-06-08 00:00:00","","47050984"
"83023349","26616962","2","","2015-02-05 00:00:00","","26616962"
"191734477","57259898","2","","2019-08-03 00:00:00","","57259898"
"191734498","57333965","5","4562258","2019-08-03 00:00:00","","57333965"
"191736526","57339578","3","","2019-08-03 00:00:00","","57339578"
"165072104","50775206","2","","2018-06-09 00:00:00","","50775206"
"165072715","46742274","8","697630","2018-06-09 00:00:00","100","46742274"
"138368924","43593778","5","318054","2017-05-09 00:00:00","","43593778"
"138371733","43870576","2","","2017-05-10 00:00:00","","43870576"
"165096494","39015444","2","","2018-06-10 00:00:00","","39015444"
"165096506","39015444","5","208953","2018-06-10 00:00:00","","39015444"
"165099555","50779254","2","","2018-06-10 00:00:00","","50779254"
"191805437","53559009","2","","2019-08-05 00:00:00","","53559009"
"191807397","40448015","2","","2019-08-05 00:00:00","","40448015"
"191807399","40448015","5","3636099","2019-08-05 00:00:00","","40448015"
"165137934","50759872","2","","2018-06-11 00:00:00","","50759872"
"191818786","54291285","2","","2019-08-05 00:00:00","","54291285"
"191820197","57329591","2","","2019-08-05 00:00:00","","57329591"
"191822300","56648153","2","","2019-08-05 00:00:00","","56648153"
"191822319","46522304","2","","2019-08-05 00:00:00","","46522304"
"191846860","55530628","5","371388","2019-08-05 00:00:00","","55530628"
"83179355","25595492","2","","2015-02-08 00:00:00","","25595492"
"191868889","57371870","2","","2019-08-06 00:00:00","","57371870"
"191871827","57371870","5","1163428","2019-08-06 00:00:00","","57371870"
"165200209","41262716","5","4652783","2018-06-12 00:00:00","","41262716"
"165200636","50785058","2","","2018-06-12 00:00:00","","50785058"
"165201096","37180375","5","4652783","2018-06-12 00:00:00","","37180375"
"191931974","57359917","2","","2019-08-07 00:00:00","","57359917"
"138559333","38508387","2","","2017-05-12 00:00:00","","38508387"
"192003555","38071714","2","","2019-08-08 00:00:00","","38071714"
"192007103","40132631","2","","2019-08-08 00:00:00","","40132631"
"192009275","48525262","2","","2019-08-08 00:00:00","","48525262"
"192009276","48525262","5","1115885","2019-08-08 00:00:00","","48525262"
"192009417","57322178","2","","2019-08-08 00:00:00","","57322178"
"192009452","52475303","2","","2019-08-08 00:00:00","","52475303"
"192009637","26529567","5","885920","2019-08-08 00:00:00","","26529567"
"138605501","43943033","2","","2017-05-12 00:00:00","","43943033"
"165422248","35882330","5","2310979","2018-06-14 00:00:00","","35882330"
"110537020","29636899","2","","2016-03-27 00:00:00","","29636899"
"110537934","27007353","2","","2016-03-28 00:00:00","","27007353"
"192140071","30237292","2","","2019-08-10 00:00:00","","30237292"
"192141697","57439687","2","","2019-08-10 00:00:00","","57439687"
"192169688","53035362","2","","2019-08-11 00:00:00","","53035362"
"138782599","43981658","2","","2017-05-16 00:00:00","","43981658"
"165507503","50856401","2","","2018-06-16 00:00:00","","50856401"
"165509367","35065875","5","5821354","2018-06-16 00:00:00","","35065875"
"138845605","29117570","2","","2017-05-16 00:00:00","","29117570"
"138845612","29117570","5","5367224","2017-05-16 00:00:00","","29117570"
